Brand,Store Number,Store Name,Ownership Type,Street Address,City,State/Province,Country,Postcode,Phone Number,Timezone,Longitude,Latitude
Starbucks,15008-157047,San Isidro,Licensed,"Belgrano, 263 San Isidro",Buenos Aires,B,AR,B1642,,GMT-03:00 America/Argentina/Bu,-58.51,-34.47
Starbucks,1271-136936,Unicenter Shopping,Licensed,Parana 3745,Martinez,B,AR,B1640FRD,4717-4898,GMT-03:00 America/Argentina/Bu,-58.52,-34.51
Starbucks,15478-161685,Maipu,Licensed,"Av. Maipu 940, Vicente Lopez",Vicente Lopez,B,AR,B1638BEL,,GMT-03:00 America/Argentina/Bu,-58.47,-34.53
Starbucks,15158-240092,Plaza Niteroi Relo,Company Owned,"Rua XV de Novembro, 8, 3o piso, Centro",Niteroi,RJ,BR,06454-000,(21) 3629-2116,GMT-03:00 America/Sao_Paulo,-43.12,-22.9
Starbucks,24246-236684,Plaza Niteroi 2,Company Owned,"Rua XV de Novembro, 8 - Piso Terreo, L16, Shopping da Gavea",Niteroi,RJ,BR,,,GMT-03:00 America/Sao_Paulo,-43.12,-22.9
Starbucks,16680-172329,Shopping da Gavea,Company Owned,"Rua Marques de Sao Vicente, 52, 1o piso, Gavea",Rio de Janeiro,RJ,BR,22451-060,(21) 2422-3744,GMT-03:00 America/Sao_Paulo,-43.23,-22.98
Starbucks,25120-238328,Aeroporto Galeao Mezanino,Company Owned,"Av. Vinte de Janeiro, s/n - Mezanino, Ilha do Governador",Rio de Janeiro,RJ,BR,21941-570,,GMT-03:00 America/Sao_Paulo,-43.25,-22.81
Starbucks,24957-239367,Assembleia x Carmo,Company Owned,"Rua do Carmo, 11",Rio de Janeiro,RJ,BR,,,GMT-03:00 America/Sao_Paulo,-43.18,-22.9
Starbucks,17029-178774,Visconde de Piraja,Company Owned,"Rua Visconde de Piraja, 206, Loja A",Rio de Janeiro,RJ,BR,22410-000,(21) 2523-2661,GMT-03:00 America/Sao_Paulo,-43.2,-22.98
Starbucks,26236-238690,Ataulfo de Paiva 313,Company Owned,"Avenida Ataulfo de Paiva, 313",Rio de Janeiro,RJ,BR,,,GMT-03:00 America/Sao_Paulo,-43.22,-22.98
Starbucks,1616-129745,Shopping Rio Sul,Company Owned,"Avenida Laudo Sodre, 445 Loja 401, Parte D-11/11A, Botafogo Praia Shopping",Rio de Janeiro,RJ,BR,22290,(21) 3553-7676,GMT-03:00 America/Sao_Paulo,-43.18,-22.96
Starbucks,15077-144229,Botafogo Praia Shopping,Company Owned,"Praia de Botafogo, 400 - Terceiro Piso, Botafogo",Rio de Janeiro,RJ,BR,22250-040,55 21 3171-9622,GMT-03:00 America/Sao_Paulo,-43.18,-22.95
Starbucks,17622-182367,Shopping Tijuca,Company Owned,"Avenida Maracana, 987, Ioja 3020, Barra Shopping",Rio de Janeiro,RJ,BR,20511-000,(21) 2568-6228,GMT-03:00 America/Sao_Paulo,-43.24,-22.92
Starbucks,27154-153758,New York City Center,Company Owned,"Avenida das Americas 5000, Nivel Terreo, Ioja 111",Rio de Janeiro,RJ,BR,22640-102,(21) 2432-4763,GMT-03:00 America/Sao_Paulo,-43.36,-23
Starbucks,17032-178778,Norte Shopping,Company Owned,"Avenida Dom Helder Camara, 5474, 2o Piso, Cachambi",Rio de Janeiro,RJ,BR,20771-004,,GMT-03:00 America/Sao_Paulo,-43.28,-22.89
Starbucks,21347-211845,Shopping Nova America 2,Company Owned,"Av. Pastor Martin Luther King Jr, 126, L, Loja 509",Rio de Janeiro,RJ,BR,,,GMT-03:00 America/Sao_Paulo,-43.27,-22.88
Starbucks,16262-168204,Goncalves Dias,Company Owned,"Rua Goncalves Dias, 51, Loja A",Rio de Janeiro,RJ,BR,20050-030,(21) 3178-2048,GMT-03:00 America/Sao_Paulo,-43.18,-22.9
Starbucks,17575-183485,Cinema Odeon,Company Owned,Praca Floriano 7 - Centro,Rio de Janeiro,RJ,BR,20031-050,,GMT-03:00 America/Sao_Paulo,-43.18,-22.91
Starbucks,23181-228184,Miguel Couto,Company Owned,"Rua Miguel Couto, 7, Centro, Edificio Argentina",Rio de Janeiro,RJ,BR,,,GMT-03:00 America/Sao_Paulo,-43.18,-22.9
Starbucks,16511-172333,Edificio Argentina,Company Owned,"Praia de Botafogo, 228, loja 120, Shopping Via Parque",Rio de Janeiro,RJ,BR,22250-040,(21) 2551-0599,GMT-03:00 America/Sao_Paulo,-43.18,-22.94
Starbucks,16512-172326,Shopping Via Parque,Company Owned,"Av. Ayrton Senna, 3000, Pavimento 2, Barra da Tijuca",Rio de Janeiro,RJ,BR,22775-003,(21) 3329-6170,GMT-03:00 America/Sao_Paulo,-43.36,-22.98
Starbucks,1597-144232,Downtown Shopping,Company Owned,"Av. das Americas, 500, Barra da Tijuca",Rio de Janeiro,RJ,BR,22640-100,(21) 3553-6869,GMT-03:00 America/Sao_Paulo,-43.32,-23
Starbucks,19039-198109,Nossa Senhora de Copacabana,Company Owned,"Av. Nossa Senhora de Copacabana, 1058, loja B",Rio de Janeiro,RJ,BR,22060-002,,GMT-03:00 America/Sao_Paulo,-43.19,-22.98
Starbucks,15072-205624,Shopping Leblon Kiosk,Company Owned,"Avenida Afranio de Melo Franco, 290",Rio de Janeiro,RJ,BR,22430-060,,GMT-03:00 America/Sao_Paulo,-43.22,-22.98
Starbucks,21722-214113,Barra Shopping 3,Company Owned,"Avenida das Americas, 4666",Rio de Janeiro,RJ,BR,,,GMT-03:00 America/Sao_Paulo,-43.36,-23
Starbucks,20361-204804,Shopping Plaza Sul,Company Owned,"Praça Leonor Kaupa, 100",Atrium Térreo,SP,BR,,,GMT-03:00 America/Sao_Paulo,-46.63,-23.62
Starbucks,1620-137556,Shopping Tambore,Company Owned,"Avenida Piracema, 669, Primeiro Piso",Barueri,SP,BR,06460-030,(11) 4193-5020,GMT-03:00 America/Sao_Paulo,-46.83,-23.5
Starbucks,23537-230924,Bauru Shopping,Company Owned,"Rua Henrique Savi, 1555, UN 2A-01, Vila Nova Cidade Universitaria, Shopping Dom Pedro",Bauru,SP,BR,17011-900,,GMT-03:00 America/Sao_Paulo,-49.05,-22.34
Starbucks,15073-141445,Parque D. Pedro Shopping,Company Owned,"Av. Guilherme Campos, 500, Jd. Santa Genebra",Campinas,SP,BR,13087-901,55 19 3756-9805,GMT-03:00 America/Sao_Paulo,-47.06,-22.85
Starbucks,22630-222405,Campinas Shopping,Company Owned,"Rua Jacy Teixeira Camargo, 940, Terreo, Jd. do Lago",Campinas,SP,BR,,,GMT-03:00 America/Sao_Paulo,-47.08,-22.93
